01_GB;ClusterIssuer;lets-encrypt-issuer-np;BOTH
01_GB;ClusterIssuer;selfsigned-issuer;BOTH
01_GB;ClusterIssuer;selfsigned-issuer-np;BOTH
01_GB;ClusterRole;admin;BOTH
01_GB;ClusterRole;anthos-metering-clusterrole;BOTH
01_GB;ClusterRole;apiserver-metrics-scrape;BOTH
01_GB;ClusterRole;bigip-ctlr-clusterrole;BOTH
01_GB;ClusterRoleBinding;anthos-metering-clusterrolebinding;BOTH
01_GB;ClusterRoleBinding;bigip-ctlr-clusterrole-binding;BOTH
01_GB;ClusterRoleBinding;calico-cni-plugin;BOTH
01_GB;ClusterRoleBinding;calico-typha-horizontal-autoscaler;BOTH
01_GB;ClusterRoleBinding;cert-manager-cainjector;BOTH
01_GB;ClusterRoleBinding;cert-manager-controller-certificates;BOTH
01_GB;ClusterRoleBinding;cert-manager-controller-challenges;BOTH
01_GB;ClusterRoleBinding;cert-manager-controller-clusterissuers;BOTH
01_GB;ClusterRoleBinding;cert-manager-controller-ingress-shim;BOTH
01_GB;ClusterRoleBinding;cert-manager-controller-issuers;BOTH
01_GB;ClusterRoleBinding;cert-manager-controller-orders;BOTH
01_GB;ClusterRoleBinding;cert-manager-helm-cert-manager-cainjector;BOTH
01_GB;ClusterRoleBinding;cert-manager-helm-cert-manager-controller-certificates;BOTH
01_GB;ClusterRoleBinding;cert-manager-helm-cert-manager-controller-challenges;BOTH
01_GB;ClusterRoleBinding;cert-manager-helm-cert-manager-controller-clusterissuers;BOTH
01_GB;ClusterRoleBinding;cert-manager-helm-cert-manager-controller-ingress-shim;BOTH
01_GB;ClusterRoleBinding;cert-manager-helm-cert-manager-controller-issuers;BOTH
01_GB;ClusterRoleBinding;cert-manager-helm-cert-manager-controller-orders;BOTH
01_GB;ClusterRoleBinding;cert-manager-setup-cainjector;BOTH
01_GB;ClusterRoleBinding;cert-manager-setup-controller-certificates;BOTH
01_GB;ClusterRoleBinding;cert-manager-setup-controller-challenges;BOTH
01_GB;ClusterRoleBinding;cert-manager-setup-controller-clusterissuers;BOTH
01_GB;ClusterRoleBinding;cert-manager-setup-controller-ingress-shim;BOTH
01_GB;ClusterRoleBinding;cert-manager-setup-controller-issuers;BOTH
01_GB;ClusterRoleBinding;cert-manager-setup-controller-orders;BOTH
01_GB;ClusterRoleBinding;citadel;BOTH
01_GB;ClusterRoleBinding;clientconfig-operator;BOTH
01_GB;ClusterRoleBinding;clientconfig-reader;BOTH
01_GB;ClusterRoleBinding;clientconfig-status-writer;BOTH
01_GB;ClusterRoleBinding;cluster-admin;BOTH
01_GB;ClusterRoleBinding;cluster-api:machine-bootstrap;BOTH
01_GB;ClusterRoleBinding;cluster-api:node-autoapprove-bootstrap;BOTH
01_GB;ClusterRoleBinding;cluster-api:node-autoapprove-certificate-rotation;BOTH
01_GB;ClusterRoleBinding;cluster-cert-manager-cainjector;BOTH
01_GB;ClusterRoleBinding;cluster-cert-manager-controller-certificates;BOTH
01_GB;ClusterRoleBinding;cluster-cert-manager-controller-challenges;BOTH
01_GB;ClusterRoleBinding;cluster-cert-manager-controller-clusterissuers;BOTH
01_GB;ClusterRoleBinding;cluster-cert-manager-controller-ingress-shim;BOTH
01_GB;ClusterRoleBinding;cluster-cert-manager-controller-issuers;BOTH
01_GB;ClusterRoleBinding;cluster-cert-manager-controller-orders;BOTH
01_GB;ClusterRoleBinding;configmanagement;BOTH
01_GB;ClusterRoleBinding;configmanagement.gke.io:importer;BOTH
01_GB;ClusterRoleBinding;configmanagement.gke.io:monitor;BOTH
01_GB;ClusterRoleBinding;configmanagement.gke.io:syncer;BOTH
01_GB;ClusterRoleBinding;config-management-operator;BOTH
01_GB;ClusterRoleBinding;csi-snapshot-controller-binding;BOTH
01_GB;ClusterRoleBinding;devops-cicd-basic;BOTH
01_GB;ClusterRoleBinding;elastic-operator;BOTH
01_GB;ClusterRoleBinding;gke-connect-controllers-impersonation;BOTH
01_GB;ClusterRoleBinding;gke-connect-feature-authorizer-20200327-02-00;BOTH
01_GB;ClusterRoleBinding;gke-connect-feature-authorizer-20200417-02-00;BOTH
01_GB;ClusterRoleBinding;gke-connect-feature-authorizer-20200515-02-00;BOTH
01_GB;ClusterRoleBinding;gke-connect-feature-authorizer-20201002-01-00;BOTH
01_GB;ClusterRoleBinding;gke-connect-feature-authorizer-20201106-01-00;BOTH
01_GB;ClusterRoleBinding;gke-connect-impersonation-20200327-02-00;BOTH
01_GB;ClusterRoleBinding;gke-connect-impersonation-20200417-02-00;BOTH
01_GB;ClusterRoleBinding;gke-connect-impersonation-20200515-02-00;BOTH
01_GB;ClusterRoleBinding;gke-connect-impersonation-20201002-01-00;BOTH
01_GB;ClusterRoleBinding;gke-connect-impersonation-20201106-01-00;BOTH
01_GB;ClusterRoleBinding;hnc.x-k8s.io:hnc-psp;BOTH
01_GB;ClusterRoleBinding;istiod-pilot-istio-system;BOTH
01_GB;ClusterRoleBinding;istio-pilot-gke-system;BOTH
01_GB;ClusterRoleBinding;istio-reader-istio-system;BOTH
01_GB;ClusterRoleBinding;k8s-auditlog-fluentd;BOTH
01_GB;ClusterRoleBinding;k8s-logging-fluentd;BOTH
01_GB;ClusterRoleBinding;kiali;BOTH
01_GB;ClusterRoleBinding;knative-serving-controller-admin;BOTH
01_GB;ClusterRoleBinding;kube-apiserver-kubelet-api-admin;BOTH
01_GB;ClusterRoleBinding;kubernetes-dashboard-metrics;BOTH
01_GB;ClusterRoleBinding;kube-state-metrics;BOTH
01_GB;ClusterRoleBinding;kube-state-metrics-crb;BOTH
01_GB;ClusterRoleBinding;load-balancer-f5-clusterrole-binding;BOTH
01_GB;ClusterRoleBinding;manager-rolebinding;BOTH
01_GB;ClusterRoleBinding;metering;BOTH
01_GB;ClusterRoleBinding;metric-exporter-crb;BOTH
01_GB;ClusterRoleBinding;metrics-server:system:auth-delegator;BOTH
01_GB;ClusterRoleBinding;node-exporter;BOTH
